"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2024","2,325.71","2,327.75","2,339.79","2,319.15","","-0.07%"
"06/27/2024","2,327.45","2,299.80","2,331.00","2,296.50","","1.29%"
"06/26/2024","2,297.91","2,320.00","2,323.95","2,293.70","","-0.91%"
"06/25/2024","2,319.01","2,333.25","2,337.26","2,315.56","","-0.60%"
"06/24/2024","2,332.93","2,321.60","2,335.02","2,317.37","","0.54%"
"06/21/2024","2,320.34","2,360.30","2,368.85","2,316.76","","-1.66%"
"06/20/2024","2,359.63","2,329.15","2,365.52","2,327.30","","1.38%"
"06/19/2024","2,327.48","2,329.79","2,335.10","2,323.84","","-0.04%"
"06/18/2024","2,328.33","2,319.38","2,333.25","2,306.63","","0.41%"
"06/17/2024","2,318.87","2,332.20","2,333.48","2,310.02","","-0.59%"
"06/14/2024","2,332.52","2,302.52","2,336.87","2,301.35","","1.27%"
"06/13/2024","2,303.19","2,325.70","2,326.70","2,295.68","","-0.83%"
"06/12/2024","2,322.52","2,315.53","2,341.70","2,310.80","","0.27%"
"06/11/2024","2,316.27","2,311.00","2,320.17","2,297.69","","0.25%"
"06/10/2024","2,310.53","2,296.00","2,313.87","2,287.31","","0.78%"
"06/07/2024","2,292.71","2,376.50","2,387.85","2,286.77","","-3.49%"
"06/06/2024","2,375.61","2,355.16","2,378.57","2,353.60","","0.88%"
"06/05/2024","2,354.78","2,328.00","2,358.07","2,325.88","","1.16%"
"06/04/2024","2,327.68","2,349.00","2,351.76","2,315.53","","-0.96%"
"06/03/2024","2,350.35","2,329.61","2,354.82","2,314.76","","1.00%"
"05/31/2024","2,326.97","2,345.07","2,353.24","2,323.96","","-0.68%"
"05/30/2024","2,343.00","2,339.67","2,351.83","2,322.72","","0.18%"
"05/29/2024","2,338.77","2,361.00","2,362.86","2,334.75","","-0.94%"
"05/28/2024","2,360.95","2,352.29","2,364.12","2,340.17","","0.43%"
"05/27/2024","2,350.74","2,334.50","2,358.56","2,332.36","","0.73%"
"05/24/2024","2,333.76","2,328.40","2,347.54","2,325.40","","0.23%"
"05/23/2024","2,328.37","2,378.60","2,383.86","2,327.00","","-2.10%"
"05/22/2024","2,378.25","2,423.75","2,426.64","2,374.98","","-1.79%"
"05/21/2024","2,421.64","2,426.84","2,434.00","2,406.32","","-0.14%"
"05/20/2024","2,425.12","2,415.02","2,450.13","2,407.34","","0.42%"
"05/17/2024","2,414.89","2,376.81","2,422.87","2,373.96","","1.62%"
"05/16/2024","2,376.44","2,386.42","2,397.44","2,371.01","","-0.40%"
"05/15/2024","2,386.04","2,358.20","2,390.36","2,351.82","","1.19%"
"05/14/2024","2,357.97","2,338.20","2,359.83","2,334.55","","0.83%"
"05/13/2024","2,338.45","2,360.38","2,364.56","2,332.38","","-0.92%"
"05/10/2024","2,360.14","2,346.26","2,378.45","2,345.25","","0.61%"
"05/09/2024","2,345.88","2,309.04","2,347.59","2,306.67","","1.60%"
"05/08/2024","2,309.05","2,315.40","2,321.43","2,303.74","","-0.27%"
"05/07/2024","2,315.20","2,326.31","2,329.98","2,310.10","","-0.47%"
"05/06/2024","2,326.15","2,293.98","2,331.98","2,291.91","","1.07%"
"05/03/2024","2,301.56","2,303.20","2,321.64","2,277.47","","-0.08%"
"05/02/2024","2,303.29","2,319.89","2,326.57","2,285.58","","-0.63%"
"05/01/2024","2,317.88","2,285.91","2,328.40","2,281.66","","1.46%"